CustomerKey,CustomerName,Segment,RegionKey,JoinDate
1,Toko Firmansyah Elektronik,SME/UMKM,2,2023-06-17
2,Agus Cahyono,Consumer,1,2022-07-19
3,Toko Nugroho Elektronik,SME/UMKM,1,2024-11-24
4,UD Cahyono Store,SME/UMKM,3,2023-01-21
5,Rina Firmansyah,Consumer,1,2022-09-10
6,PT Halim Nusantara,Corporate,1,2024-02-12
7,Toko Kusuma Gadget,SME/UMKM,8,2023-01-20
8,PT Pratama Gadget,SME/UMKM,8,2024-10-06
9,Rina Pratama,Consumer,8,2023-08-18
10,Fajar Utomo,Consumer,2,2022-06-05
11,Rizki Halim,Consumer,12,2025-01-07
12,PT Halim Digital,Corporate,6,2023-10-28
13,CV Firmansyah Gadget,SME/UMKM,1,2023-02-18
14,CV Halim Cell,SME/UMKM,1,2024-04-08
15,Sari Kusuma,Consumer,7,2023-11-13
16,Putri Firmansyah,Consumer,1,2022-06-30
17,Hendra Rahayu,Consumer,4,2024-06-29
18,Hendra Cahyono,Consumer,18,2023-07-07
19,CV Firmansyah Gadget,SME/UMKM,1,2024-04-30
20,CV Permata Store,SME/UMKM,1,2024-11-12
21,UD Anggraini Elektronik,SME/UMKM,18,2024-02-01
22,Rizki Cahyono,Consumer,6,2024-04-02
23,PT Permata Digital,Corporate,1,2023-02-10
24,PT Firmansyah Nusantara,Corporate,12,2023-01-24
25,PT Nugroho Cell,SME/UMKM,12,2023-07-21
26,Eko Santoso,Consumer,5,2024-09-30
27,Rizki Permata,Consumer,6,2023-11-07
28,Sari Anggraini,Consumer,2,2023-05-15
29,Lestari Puspita,Consumer,1,2024-07-19
30,PT Setiawan Elektronik,SME/UMKM,6,2024-10-01
31,Toko Wijaya Elektronik,SME/UMKM,2,2024-11-19
32,PT Rahayu Digital,Corporate,7,2023-03-26
33,Siti Anggraini,Consumer,10,2024-05-10
34,Hendra Rahayu,Consumer,1,2024-01-12
35,Agus Setiawan,Consumer,6,2023-08-23
36,Intan Pratama,Consumer,1,2023-07-02
37,Wawan Saputra,Consumer,12,2022-09-23
38,Maya Saputra,Consumer,2,2023-03-02
39,Nur Setiawan,Consumer,6,2023-12-02
40,UD Puspita Store,SME/UMKM,5,2024-11-03
41,Siti Kusuma,Consumer,3,2024-10-14
42,Toko Permata Cell,SME/UMKM,7,2022-12-05
43,PT Anggraini Elektronik,SME/UMKM,8,2024-04-10
44,Dewi Pratama,Consumer,5,2022-08-24
45,PT Permata Cell,SME/UMKM,8,2024-04-06
46,Toko Anggraini Gadget,SME/UMKM,17,2023-05-08
47,Sari Anggraini,Consumer,3,2023-08-24
48,Eko Firmansyah,Consumer,4,2024-05-18
49,UD Firmansyah Elektronik,SME/UMKM,1,2023-07-30
50,Rina Kusuma,Consumer,9,2024-08-16
51,Maya Pratama,Consumer,4,2023-11-16
52,Hendra Cahyono,Consumer,3,2025-02-23
53,PT Firmansyah Cell,SME/UMKM,1,2024-02-29
54,Toko Wijaya Gadget,SME/UMKM,12,2023-03-24
55,Toko Rahayu Gadget,SME/UMKM,3,2024-07-15
56,UD Firmansyah Cell,SME/UMKM,7,2023-07-13
57,Sari Rahayu,Consumer,1,2023-11-17
58,Andi Firmansyah,Consumer,16,2022-10-15
59,Lestari Cahyono,Consumer,1,2022-09-28
60,Nur Utomo,Consumer,1,2023-12-27
61,CV Firmansyah Gadget,SME/UMKM,11,2022-12-04
62,Bayu Nugroho,Consumer,14,2025-02-22
63,Andi Pratama,Consumer,1,2024-10-03
64,UD Pratama Cell,SME/UMKM,3,2024-05-01
65,UD Permata Gadget,SME/UMKM,8,2024-06-04
66,Eko Halim,Consumer,12,2024-01-17
67,Agus Rahayu,Consumer,3,2022-07-31
68,Dewi Permata,Consumer,4,2023-06-28
69,Hendra Setiawan,Consumer,8,2023-10-09
70,Ayu Firmansyah,Consumer,8,2024-12-02
71,Dimas Anggraini,Consumer,9,2023-01-06
72,Agus Halim,Consumer,6,2023-10-10
73,Toko Setiawan Cell,SME/UMKM,1,2023-05-11
74,Eko Cahyono,Consumer,13,2022-10-13
75,Intan Saputra,Consumer,12,2022-09-12
76,Agus Nugroho,Consumer,9,2023-06-01
77,Lestari Puspita,Consumer,1,2022-08-22
78,Toko Wijaya Cell,SME/UMKM,1,2022-08-07
79,Rina Permata,Consumer,8,2023-05-17
80,PT Rahayu Elektronik,SME/UMKM,1,2022-12-19
81,PT Wijaya Gadget,SME/UMKM,17,2023-12-07
82,Eko Cahyono,Consumer,3,2022-06-18
83,CV Nugroho Store,SME/UMKM,8,2023-03-29
84,Rina Nugroho,Consumer,12,2023-08-28
85,Fajar Santoso,Consumer,3,2025-01-19
86,Andi Anggraini,Consumer,2,2024-02-25
87,UD Firmansyah Store,SME/UMKM,6,2024-10-28
88,Bayu Wijaya,Consumer,6,2023-05-10
89,Ayu Setiawan,Consumer,3,2023-08-24
90,Budi Puspita,Consumer,6,2023-07-26
91,Sari Nugroho,Consumer,14,2024-11-04
92,UD Cahyono Cell,SME/UMKM,3,2025-01-15
93,Agus Utomo,Consumer,1,2025-01-18
94,Intan Santoso,Consumer,3,2024-06-21
95,Sari Pratama,Consumer,3,2023-10-17
96,Toko Utomo Cell,SME/UMKM,1,2023-11-23
97,Sari Puspita,Consumer,1,2025-02-05
98,Lestari Santoso,Consumer,7,2023-03-12
99,Rizki Kusuma,Consumer,3,2023-05-13
100,PT Saputra Sejahtera,Corporate,15,2024-11-13
101,PT Cahyono Nusantara,Corporate,2,2023-06-22
102,UD Pratama Cell,SME/UMKM,1,2023-01-22
103,Hendra Nugroho,Consumer,8,2023-12-13
104,PT Utomo Jaya,Corporate,12,2023-04-22
105,PT Santoso Cell,SME/UMKM,2,2024-11-07
106,PT Santoso Store,SME/UMKM,1,2024-11-26
107,Dimas Setiawan,Consumer,1,2023-04-03
108,Wawan Setiawan,Consumer,4,2023-11-12
109,Rizki Nugroho,Consumer,3,2025-02-08
110,PT Cahyono Makmur,Corporate,2,2024-06-12
111,Siti Rahayu,Consumer,1,2023-01-02
112,Wawan Setiawan,Consumer,4,2024-01-12
113,Hendra Wijaya,Consumer,15,2024-02-10
114,Nur Cahyono,Consumer,7,2024-03-15
115,Sari Cahyono,Consumer,4,2022-06-26
116,UD Saputra Cell,SME/UMKM,1,2023-03-27
117,CV Kusuma Cell,SME/UMKM,2,2024-10-02
118,PT Rahayu Elektronik,SME/UMKM,2,2023-01-28
119,Bayu Firmansyah,Consumer,8,2023-03-27
120,Toko Utomo Cell,SME/UMKM,12,2023-04-19
121,Lestari Saputra,Consumer,13,2022-11-25
122,PT Cahyono Elektronik,SME/UMKM,18,2022-11-03
123,Siti Pratama,Consumer,17,2023-05-14
124,Budi Nugroho,Consumer,15,2024-10-22
125,Siti Rahayu,Consumer,1,2022-06-02
126,Bayu Setiawan,Consumer,1,2023-03-11
127,Eko Utomo,Consumer,2,2022-07-31
128,Bayu Santoso,Consumer,5,2023-12-14
129,Siti Utomo,Consumer,1,2023-02-06
130,Budi Santoso,Consumer,11,2024-07-31
131,Rizki Puspita,Consumer,6,2024-01-07
132,PT Saputra Nusantara,Corporate,5,2024-07-23
133,Fajar Pratama,Consumer,1,2024-02-25
134,Ayu Wijaya,Consumer,2,2023-08-13
135,Nur Pratama,Consumer,1,2024-10-08
